season,team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
2017/2018,Southampton,Southampton,St Mary's Stadium,32384,30793,Mark Hughes,False,Steven Davis
2017/2018,Stoke City,Stoke-on-Trent,Bet365 Stadium,30089,29279,Paul Lambert,False,Ryan Shawcross
2017/2018,Swansea City,Swansea,Liberty Stadium,21088,20622,Carlos Carvalhal,False,Àngel Rangel
2017/2018,Tottenham Hotspur,London (Wembley),Wembley Stadium[a],90000,67952,Mauricio Pochettino,False,Hugo Lloris
2017/2018,Watford,Watford,Vicarage Road,21577,20230,Javi Gracia,False,Troy Deeney
2017/2018,West Bromwich Albion,West Bromwich,The Hawthorns,26688,24519,Alan Pardew,False,Jonny Evans
2017/2018,West Ham United,London (Stratford),London Stadium,60000,56884,David Moyes,False,Mark Noble
2018/2019,Arsenal,London (Holloway),Emirates Stadium,60260,59898,Unai Emery,False,Laurent Koscielny
2018/2019,Bournemouth,Bournemouth,Dean Court,11329,10531,Eddie Howe,False,Simon Francis
2018/2019,Brighton & Hove Albion,Falmer,Falmer Stadium,30666,30425,Chris Hughton,False,Bruno
2018/2019,Burnley,Burnley,Turf Moor,21944,20534,Sean Dyche,False,Tom Heaton
2018/2019,Cardiff City,Cardiff,Cardiff City Stadium,33316,31407,Neil Warnock,True,Sean Morrison
2018/2019,Chelsea,London (Fulham),Stamford Bridge,40853,40436,Maurizio Sarri,False,Gary Cahill
2018/2019,Crystal Palace,London (Selhurst),Selhurst Park,26074,25440,Roy Hodgson,False,Luka Milivojević
2018/2019,Everton,Liverpool (Walton),Goodison Park,39221,39042,Marco Silva,False,Phil Jagielka
2018/2019,Fulham,London (Fulham),Craven Cottage,25700,24336,Scott Parker,True,Tom Cairney
2018/2019,Huddersfield Town,Huddersfield,Kirklees Stadium,24121,23340,Jan Siewert,False,Tommy Smith
2018/2019,Leicester City,Leicester,King Power Stadium,32273,31832,Brendan Rodgers,False,Wes Morgan
2018/2019,Liverpool,Liverpool (Anfield),Anfield,54074,53050,Jürgen Klopp,False,Jordan Henderson
2018/2019,Manchester City,Manchester (Bradford),City of Manchester Stadium,55017,54128,Pep Guardiola,False,Vincent Kompany
2018/2019,Manchester United,Manchester (Old Trafford),Old Trafford,74879,74498,Ole Gunnar Solskjær,False,Antonio Valencia
2018/2019,Newcastle United,Newcastle upon Tyne,St James' Park,52354,51120,Rafael Benítez,False,Jamaal Lascelles
2018/2019,Southampton,Southampton,St Mary's Stadium,32384,30212,Ralph Hasenhüttl,False,Pierre-Emile Højbjerg
2018/2019,Tottenham Hotspur,London (Wembley),Wembley Stadium[a],90000,54216,Mauricio Pochettino,False,Hugo Lloris
2018/2019,Watford,Watford,Vicarage Road,20400,20015,Javi Gracia,False,Troy Deeney
2018/2019,West Ham United,London (Stratford),London Stadium,60000,58335,Manuel Pellegrini,False,Mark Noble
2018/2019,Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,32050,31030,Nuno Espírito Santo,True,Conor Coady
2019/2020,Arsenal,London (Holloway),Emirates Stadium,60704,47589,Mikel Arteta,False,Pierre-Emerick Aubameyang
2019/2020,Aston Villa,Birmingham,Villa Park,42785,28505,Dean Smith,True,Jack Grealish
2019/2020,Bournemouth,Bournemouth,Dean Court,11329,7745,Eddie Howe,False,Simon Francis
2019/2020,Brighton & Hove Albion,Falmer,Falmer Stadium,30750,22369,Graham Potter,False,Lewis Dunk
2019/2020,Burnley,Burnley,Turf Moor,21944,15995,Sean Dyche,False,Ben Mee
2019/2020,Chelsea,London (Fulham),Stamford Bridge,40834,32023,Frank Lampard,False,César Azpilicueta
2019/2020,Crystal Palace,London (Selhurst),Selhurst Park,25486,19784,Roy Hodgson,False,Luka Milivojević
2019/2020,Everton,Liverpool (Walton),Goodison Park,39414,28848,Carlo Ancelotti,False,Séamus Coleman
2019/2020,Leicester City,Leicester,King Power Stadium,32243,25312,Brendan Rodgers,False,Wes Morgan
2019/2020,Liverpool,Liverpool (Anfield),Anfield,53394,41955,Jürgen Klopp,False,Jordan Henderson
2019/2020,Manchester City,Manchester (Bradford),City of Manchester Stadium,55097,37097,Pep Guardiola,False,David Silva
2019/2020,Manchester United,Manchester (Old Trafford),Old Trafford,74879,57942,Ole Gunnar Solskjær,False,Harry Maguire
2019/2020,Newcastle United,Newcastle upon Tyne,St James' Park,52388,35551,Steve Bruce,False,Jamaal Lascelles
2019/2020,Norwich City,Norwich,Carrow Road,27244,19913,Daniel Farke,True,Grant Hanley
2019/2020,Sheffield United,Sheffield,Bramall Lane,32125,24370,Chris Wilder,True,Billy Sharp
2019/2020,Southampton,Southampton,St Mary's Stadium,32505,23428,Ralph Hasenhüttl,False,James Ward-Prowse
2019/2020,Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62303,43757,José Mourinho,False,Hugo Lloris
2019/2020,Watford,Watford,Vicarage Road,22220,15353,Nigel Pearson,False,Troy Deeney
2019/2020,West Ham United,London (Stratford),London Stadium,60000,44134,David Moyes,False,Mark Noble
2019/2020,Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,32050,24758,Nuno Espírito Santo,False,Conor Coady
2020/2021,Arsenal,London (Holloway),Emirates Stadium,60704,632,Mikel Arteta,False,Pierre-Emerick Aubameyang
2020/2021,Aston Villa,Birmingham,Villa Park,42682,526,Dean Smith,False,Jack Grealish
2020/2021,Brighton & Hove Albion,Falmer,Falmer Stadium,30750,523,Graham Potter,False,Lewis Dunk
2020/2021,Burnley,Burnley,Turf Moor,21944,158,Sean Dyche,False,Ben Mee
