player_name,observation_weight,season_count,unweighted_average_hra,weighted_average_hra
Sebastian Larsson,77,7,0.2342667066826731,0.19623376623376623
Harry Kane,125,9,0.23300151454343906,0.19671999999999973
Danny Simpson,68,7,0.1208026695526692,0.19808823529411732
Federico Fernandez,63,7,0.23595748299319702,0.1990476190476187
Morgan Schneiderlin,56,6,0.49517782870724075,0.199107142857143
Wilfred Ndidi,61,6,0.19065367965367927,0.1998360655737699
Kepa Arrizabalaga,43,5,0.46418823529411773,0.20023255813953483
Leon Osman,51,6,0.20483829895594627,0.2021568627450982
Nathan Redmond,73,8,0.32170235401853037,0.20301369863013685
Victor Lindelof,53,6,0.09045138888888904,0.20452830188679252
Ashley Williams,107,7,0.22205940709617142,0.20532710280373792
Gareth McAuley,82,7,0.2985559954751131,0.20573170731707302
Billy Jones,31,6,0.17957142857142838,0.20677419354838703
Wayne Routledge,52,6,0.15376678876678898,0.20692307692307713
Laurent Koscielny,86,8,0.12767139110889114,0.20709302325581397
Phil Neville,31,4,0.10604166666666703,0.20838709677419398
Morten Pedersen,32,3,0.2629629629629626,0.2093749999999996
Youri Tielemans,52,4,0.25350961538461525,0.20980769230769208
Michael Carrick,67,8,0.21420833333333342,0.21164179104477632
Jose Enrique,40,3,0.2158823529411761,0.21424999999999966
Michael Keane,81,7,0.19618406593406604,0.21432098765432098
Gareth Bale,42,3,0.2136862745098034,0.21476190476190424
Riyad Mahrez,78,9,0.21445817771553066,0.21628205128205133
Gylfi Sigurdsson,92,9,0.3107276967767163,0.216304347826087
Solly March,35,6,0.35834595959595994,0.21657142857142886
Fabricio Coloccini,67,6,0.22582917082917087,0.2171641791044775
Bukayo Saka,51,4,0.13136846405228744,0.21823529411764675
Idrissa Gueye,70,5,0.2316263736263735,0.22171428571428564
Luka Milivojevic,54,5,0.10497880116959057,0.2255555555555556
Allan-Romeo Nyom,30,3,0.2283333333333332,0.2283333333333332
Christian Eriksen,92,8,0.3875887684619297,0.22880434782608655
Jonjo Shelvey,55,9,0.23858946608946635,0.22945454545454574
Seamus Coleman,107,12,0.23058404776051847,0.22962616822429927
Marcus Rashford,56,7,0.4351156462585033,0.23035714285714254
Kieran Trippier,54,6,0.3394611528822053,0.23092592592592515
Glen Johnson,64,8,0.2786739665563193,0.23515624999999984
Dean Whitehead,36,4,0.21398809523809476,0.23555555555555527
Miguel Almiron,38,4,0.27230208333333317,0.23947368421052626
Petr Cech,126,8,0.24956266585581596,0.2413492063492063
